[1104/144247:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1104/144340:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1104/173136:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1104/173526:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1104/174312:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1104/180518:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1104/180559:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1107/144306:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1107/150641:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1107/151350:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1107/151618:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1107/151913:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1107/152341:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1107/152449:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1107/152937:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1107/153400:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1108/094612:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1108/094629:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1108/095406:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1108/095423:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1108/101440:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1108/104535:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1108/105212:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1108/110032:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1108/110253:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1108/110459:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1108/112857:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1108/113153:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1108/113852:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1108/114445:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1108/114527:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1108/114734:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1108/121317:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1108/121837:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1108/122514:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1108/124314:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1108/124518:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1110/094109:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1110/121336:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1110/121513:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1110/121904:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1110/123450:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1110/123914:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1110/124006:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1110/132508:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1110/133402:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1110/133617:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1110/135111:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1110/135444:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1110/135900:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1110/140152:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1110/140520:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1110/140901:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1110/141110:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1110/143102:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1110/145449:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1110/145713:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1110/145944:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1110/150207:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1110/150300:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1110/150650:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1110/151028:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1110/151251:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1110/151347:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1110/151502:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1110/151722:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1110/151937:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1110/152943:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1110/153202:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1110/153617:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1110/154337:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1110/154501:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1110/154733:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1110/160242:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1110/160414:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1110/160514:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1110/160657:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1110/160911:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1110/160953:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1110/161855:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1110/162041:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1110/162850:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1110/171332:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1110/171436:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1110/171546:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1110/172143:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1110/172222:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1110/172823:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1110/173156:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1110/204913:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1110/205623:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1110/205857:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1110/210237:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1110/211512:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1110/211605:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1110/212512:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1110/213956:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1110/214212:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1110/214414:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1110/214607:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1110/214911:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1111/125438:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1111/125505:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1111/125703:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1111/125919:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1111/130124:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1111/130241:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1111/130313:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1111/130409:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1111/130554:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1111/131348:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1111/131450:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1111/134048:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1111/134200:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1111/134304:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1111/134346:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1111/140347:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1111/142318:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1111/142345:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1111/142735:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1111/142820:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1111/142855:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1111/142945:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1111/143310:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1111/144222:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1111/144333:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1111/144449:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1111/144709:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1111/145025:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1111/145534:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1124/093102:ERROR:file_io.cc(30)] read: expected 4, observed 0
